RunID;RunDateTime;Moves HTM Count
1;2025-04-16 12:53:31;107
1;2025-04-16 12:53:31;105
1;2025-04-16 12:53:31;110
1;2025-04-16 12:53:31;124
1;2025-04-16 12:53:31;95
1;2025-04-16 12:53:31;96
1;2025-04-16 12:53:31;97
1;2025-04-16 12:53:31;97
1;2025-04-16 12:53:31;114
1;2025-04-16 12:53:31;96
2;2025-04-16 12:53:57;87
2;2025-04-16 12:53:57;110
2;2025-04-16 12:53:57;101
2;2025-04-16 12:53:57;103
2;2025-04-16 12:53:57;112
2;2025-04-16 12:53:57;92
2;2025-04-16 12:53:57;109
2;2025-04-16 12:53:57;98
2;2025-04-16 12:53:57;108
2;2025-04-16 12:53:57;100
3;2025-04-16 12:55:00;106
3;2025-04-16 12:55:00;105
3;2025-04-16 12:55:00;87
3;2025-04-16 12:55:00;95
3;2025-04-16 12:55:00;93
3;2025-04-16 12:55:00;90
3;2025-04-16 12:55:00;87
3;2025-04-16 12:55:00;86
3;2025-04-16 12:55:00;85
3;2025-04-16 12:55:00;106
4;2025-04-16 12:55:24;94
4;2025-04-16 12:55:24;108
4;2025-04-16 12:55:24;129
4;2025-04-16 12:55:24;92
4;2025-04-16 12:55:24;113
4;2025-04-16 12:55:24;113
4;2025-04-16 12:55:24;97
4;2025-04-16 12:55:24;94
4;2025-04-16 12:55:24;93
4;2025-04-16 12:55:24;97
5;2025-04-16 12:56:04;112
5;2025-04-16 12:56:04;91
5;2025-04-16 12:56:04;91
5;2025-04-16 12:56:04;108
5;2025-04-16 12:56:04;108
5;2025-04-16 12:56:04;95
5;2025-04-16 12:56:04;108
5;2025-04-16 12:56:04;103
5;2025-04-16 12:56:04;87
5;2025-04-16 12:56:04;103
6;2025-04-16 12:56:29;94
6;2025-04-16 12:56:29;95
6;2025-04-16 12:56:29;111
6;2025-04-16 12:56:29;109
6;2025-04-16 12:56:29;111
6;2025-04-16 12:56:29;109
6;2025-04-16 12:56:29;110
6;2025-04-16 12:56:29;130
6;2025-04-16 12:56:29;134
6;2025-04-16 12:56:29;115
7;2025-04-16 12:56:56;107
7;2025-04-16 12:56:56;111
7;2025-04-16 12:56:56;107
7;2025-04-16 12:56:56;107
7;2025-04-16 12:56:56;107
7;2025-04-16 12:56:56;90
7;2025-04-16 12:56:56;93
7;2025-04-16 12:56:56;92
7;2025-04-16 12:56:56;90
7;2025-04-16 12:56:56;115
8;2025-04-16 12:57:27;86
8;2025-04-16 12:57:27;101
8;2025-04-16 12:57:27;88
8;2025-04-16 12:57:27;102
8;2025-04-16 12:57:27;86
8;2025-04-16 12:57:27;88
8;2025-04-16 12:57:27;88
8;2025-04-16 12:57:27;106
8;2025-04-16 12:57:27;86
8;2025-04-16 12:57:27;90
9;2025-04-16 12:57:57;117
9;2025-04-16 12:57:57;123
9;2025-04-16 12:57:57;118
9;2025-04-16 12:57:57;123
9;2025-04-16 12:57:57;118
9;2025-04-16 12:57:57;106
9;2025-04-16 12:57:57;107
9;2025-04-16 12:57:57;118
9;2025-04-16 12:57:57;96
9;2025-04-16 12:57:57;98
10;2025-04-16 12:59:26;97
10;2025-04-16 12:59:26;101
10;2025-04-16 12:59:26;97
10;2025-04-16 12:59:26;92
10;2025-04-16 12:59:26;93
10;2025-04-16 12:59:26;99
10;2025-04-16 12:59:26;92
10;2025-04-16 12:59:26;92
10;2025-04-16 12:59:26;76
10;2025-04-16 12:59:26;76
11;2025-04-16 12:59:42;105
11;2025-04-16 12:59:42;107
11;2025-04-16 12:59:42;105
11;2025-04-16 12:59:42;107
11;2025-04-16 12:59:42;107
11;2025-04-16 12:59:42;104
11;2025-04-16 12:59:42;107
11;2025-04-16 12:59:42;105
11;2025-04-16 12:59:42;106
11;2025-04-16 12:59:42;107
12;2025-04-16 13:00:01;99
12;2025-04-16 13:00:01;95
12;2025-04-16 13:00:01;95
12;2025-04-16 13:00:01;95
12;2025-04-16 13:00:01;95
12;2025-04-16 13:00:01;111
12;2025-04-16 13:00:01;99
12;2025-04-16 13:00:01;113
12;2025-04-16 13:00:01;118
12;2025-04-16 13:00:01;95
13;2025-04-16 13:00:29;91
13;2025-04-16 13:00:29;91
13;2025-04-16 13:00:29;91
13;2025-04-16 13:00:29;91
13;2025-04-16 13:00:29;87
13;2025-04-16 13:00:29;88
13;2025-04-16 13:00:29;110
13;2025-04-16 13:00:29;104
13;2025-04-16 13:00:29;84
13;2025-04-16 13:00:29;110
14;2025-04-16 13:00:48;99
14;2025-04-16 13:00:48;94
14;2025-04-16 13:00:48;77
14;2025-04-16 13:00:48;98
14;2025-04-16 13:00:48;81
14;2025-04-16 13:00:48;80
14;2025-04-16 13:00:48;77
14;2025-04-16 13:00:48;94
14;2025-04-16 13:00:48;83
14;2025-04-16 13:00:48;82
15;2025-04-16 13:01:30;116
15;2025-04-16 13:01:30;112
15;2025-04-16 13:01:30;108
15;2025-04-16 13:01:30;100
15;2025-04-16 13:01:30;102
15;2025-04-16 13:01:30;109
15;2025-04-16 13:01:30;113
15;2025-04-16 13:01:30;109
15;2025-04-16 13:01:30;105
15;2025-04-16 13:01:30;104
16;2025-04-16 13:02:05;116
16;2025-04-16 13:02:05;115
16;2025-04-16 13:02:05;123
16;2025-04-16 13:02:05;93
16;2025-04-16 13:02:05;87
16;2025-04-16 13:02:05;93
16;2025-04-16 13:02:05;87
16;2025-04-16 13:02:05;130
16;2025-04-16 13:02:05;129
16;2025-04-16 13:02:05;134
17;2025-04-16 13:02:29;131
17;2025-04-16 13:02:29;122
17;2025-04-16 13:02:29;104
17;2025-04-16 13:02:29;108
17;2025-04-16 13:02:29;119
17;2025-04-16 13:02:29;123
17;2025-04-16 13:02:29;117
17;2025-04-16 13:02:29;117
17;2025-04-16 13:02:29;119
17;2025-04-16 13:02:29;117
18;2025-04-16 13:03:38;87
18;2025-04-16 13:03:38;110
18;2025-04-16 13:03:38;112
18;2025-04-16 13:03:38;92
18;2025-04-16 13:03:38;96
18;2025-04-16 13:03:38;95
18;2025-04-16 13:03:38;92
18;2025-04-16 13:03:38;108
18;2025-04-16 13:03:38;112
18;2025-04-16 13:03:38;111
19;2025-04-16 13:03:58;106
19;2025-04-16 13:03:58;114
19;2025-04-16 13:03:58;103
19;2025-04-16 13:03:58;111
19;2025-04-16 13:03:58;105
19;2025-04-16 13:03:58;109
19;2025-04-16 13:03:58;115
19;2025-04-16 13:03:58;108
19;2025-04-16 13:03:58;109
19;2025-04-16 13:03:58;100
20;2025-04-16 13:04:36;102
20;2025-04-16 13:04:36;99
20;2025-04-16 13:04:36;135
20;2025-04-16 13:04:36;142
20;2025-04-16 13:04:36;124
20;2025-04-16 13:04:36;109
20;2025-04-16 13:04:36;107
20;2025-04-16 13:04:36;126
20;2025-04-16 13:04:36;107
20;2025-04-16 13:04:36;107
21;2025-04-16 13:04:58;114
21;2025-04-16 13:04:58;110
21;2025-04-16 13:04:58;110
21;2025-04-16 13:04:58;111
21;2025-04-16 13:04:58;108
21;2025-04-16 13:04:58;92
21;2025-04-16 13:04:58;112
21;2025-04-16 13:04:58;96
21;2025-04-16 13:04:58;95
21;2025-04-16 13:04:58;92
23;2025-04-16 15:05:46;122
23;2025-04-16 15:05:46;119
23;2025-04-16 15:05:46;112
23;2025-04-16 15:05:46;108
23;2025-04-16 15:05:46;112
23;2025-04-16 15:05:46;104
23;2025-04-16 15:05:46;104
23;2025-04-16 15:05:46;109
23;2025-04-16 15:05:46;112
23;2025-04-16 15:05:46;117
24;2025-04-16 15:06:36;134
24;2025-04-16 15:06:36;120
24;2025-04-16 15:06:36;119
24;2025-04-16 15:06:36;120
24;2025-04-16 15:06:36;119
24;2025-04-16 15:06:36;119
24;2025-04-16 15:06:36;122
24;2025-04-16 15:06:36;121
24;2025-04-16 15:06:36;119
24;2025-04-16 15:06:36;121
25;2025-04-16 15:06:55;95
25;2025-04-16 15:06:55;95
25;2025-04-16 15:06:55;99
25;2025-04-16 15:06:55;95
25;2025-04-16 15:06:55;95
25;2025-04-16 15:06:55;99
25;2025-04-16 15:06:55;90
25;2025-04-16 15:06:55;106
25;2025-04-16 15:06:55;89
25;2025-04-16 15:06:55;106
26;2025-04-16 15:08:43;131
26;2025-04-16 15:08:43;128
26;2025-04-16 15:08:43;104
26;2025-04-16 15:08:43;105
26;2025-04-16 15:08:43;102
26;2025-04-16 15:08:43;114
26;2025-04-16 15:08:43;100
26;2025-04-16 15:08:43;120
26;2025-04-16 15:08:43;100
26;2025-04-16 15:08:43;100
27;2025-04-16 15:09:15;105
27;2025-04-16 15:09:15;109
27;2025-04-16 15:09:15;123
27;2025-04-16 15:09:15;125
27;2025-04-16 15:09:15;124
27;2025-04-16 15:09:15;126
27;2025-04-16 15:09:15;116
27;2025-04-16 15:09:15;105
27;2025-04-16 15:09:15;104
27;2025-04-16 15:09:15;95
28;2025-04-16 15:10:17;97
28;2025-04-16 15:10:17;108
28;2025-04-16 15:10:17;126
28;2025-04-16 15:10:17;126
28;2025-04-16 15:10:17;138
28;2025-04-16 15:10:17;130
28;2025-04-16 15:10:17;133
28;2025-04-16 15:10:17;131
28;2025-04-16 15:10:17;130
28;2025-04-16 15:10:17;136
29;2025-04-16 15:11:12;126
29;2025-04-16 15:11:12;122
29;2025-04-16 15:11:12;127
29;2025-04-16 15:11:12;80
29;2025-04-16 15:11:12;83
29;2025-04-16 15:11:12;85
29;2025-04-16 15:11:12;80
29;2025-04-16 15:11:12;83
29;2025-04-16 15:11:12;85
29;2025-04-16 15:11:12;95
30;2025-04-16 15:12:34;108
30;2025-04-16 15:12:34;134
30;2025-04-16 15:12:34;133
30;2025-04-16 15:12:34;104
30;2025-04-16 15:12:34;108
30;2025-04-16 15:12:34;121
30;2025-04-16 15:12:34;104
30;2025-04-16 15:12:34;108
30;2025-04-16 15:12:34;120
30;2025-04-16 15:12:34;123
31;2025-04-16 15:13:16;104
31;2025-04-16 15:13:16;106
31;2025-04-16 15:13:16;104
31;2025-04-16 15:13:16;106
31;2025-04-16 15:13:16;106
31;2025-04-16 15:13:16;104
31;2025-04-16 15:13:16;107
31;2025-04-16 15:13:16;105
31;2025-04-16 15:13:16;106
31;2025-04-16 15:13:16;107
32;2025-04-16 15:13:40;106
32;2025-04-16 15:13:40;93
32;2025-04-16 15:13:40;92
32;2025-04-16 15:13:40;92
32;2025-04-16 15:13:40;97
32;2025-04-16 15:13:40;97
32;2025-04-16 15:13:40;105
32;2025-04-16 15:13:40;89
32;2025-04-16 15:13:40;97
32;2025-04-16 15:13:40;97
33;2025-04-16 15:14:03;164
33;2025-04-16 15:14:03;165
33;2025-04-16 15:14:03;113
33;2025-04-16 15:14:03;109
33;2025-04-16 15:14:03;113
33;2025-04-16 15:14:03;109
33;2025-04-16 15:14:03;117
33;2025-04-16 15:14:03;112
33;2025-04-16 15:14:03;124
33;2025-04-16 15:14:03;117
34;2025-04-16 15:14:53;132
34;2025-04-16 15:14:53;135
34;2025-04-16 15:14:53;133
34;2025-04-16 15:14:53;134
34;2025-04-16 15:14:53;113
34;2025-04-16 15:14:53;132
34;2025-04-16 15:14:53;135
34;2025-04-16 15:14:53;133
34;2025-04-16 15:14:53;134
34;2025-04-16 15:14:53;114
35;2025-04-16 15:15:12;99
35;2025-04-16 15:15:12;102
35;2025-04-16 15:15:12;106
35;2025-04-16 15:15:12;105
35;2025-04-16 15:15:12;102
35;2025-04-16 15:15:12;103
35;2025-04-16 15:15:12;86
35;2025-04-16 15:15:12;86
35;2025-04-16 15:15:12;86
35;2025-04-16 15:15:12;105
36;2025-04-16 15:15:28;93
36;2025-04-16 15:15:28;95
36;2025-04-16 15:15:28;93
36;2025-04-16 15:15:28;92
36;2025-04-16 15:15:28;94
36;2025-04-16 15:15:28;93
36;2025-04-16 15:15:28;92
36;2025-04-16 15:15:28;100
36;2025-04-16 15:15:28;97
36;2025-04-16 15:15:28;105
37;2025-04-16 15:15:58;104
37;2025-04-16 15:15:58;104
37;2025-04-16 15:15:58;113
37;2025-04-16 15:15:58;111
37;2025-04-16 15:15:58;114
37;2025-04-16 15:15:58;111
37;2025-04-16 15:15:58;108
37;2025-04-16 15:15:58;106
37;2025-04-16 15:15:58;128
37;2025-04-16 15:15:58;107
38;2025-04-16 15:16:33;99
38;2025-04-16 15:16:33;101
38;2025-04-16 15:16:33;106
38;2025-04-16 15:16:33;99
38;2025-04-16 15:16:33;99
38;2025-04-16 15:16:33;104
38;2025-04-16 15:16:33;122
38;2025-04-16 15:16:33;87
38;2025-04-16 15:16:33;87
38;2025-04-16 15:16:33;89
39;2025-04-16 15:17:09;93
39;2025-04-16 15:17:09;95
39;2025-04-16 15:17:09;85
39;2025-04-16 15:17:09;114
39;2025-04-16 15:17:09;119
39;2025-04-16 15:17:09;108
39;2025-04-16 15:17:09;112
39;2025-04-16 15:17:09;111
39;2025-04-16 15:17:09;108
39;2025-04-16 15:17:09;107
40;2025-04-16 15:17:50;123
40;2025-04-16 15:17:50;120
40;2025-04-16 15:17:50;117
40;2025-04-16 15:17:50;117
40;2025-04-16 15:17:50;123
40;2025-04-16 15:17:50;120
40;2025-04-16 15:17:50;125
40;2025-04-16 15:17:50;103
40;2025-04-16 15:17:50;101
40;2025-04-16 15:17:50;107
41;2025-04-16 15:18:40;80
41;2025-04-16 15:18:40;80
41;2025-04-16 15:18:40;124
41;2025-04-16 15:18:40;135
41;2025-04-16 15:18:40;142
41;2025-04-16 15:18:40;140
41;2025-04-16 15:18:40;119
41;2025-04-16 15:18:40;138
41;2025-04-16 15:18:40;134
41;2025-04-16 15:18:40;134
42;2025-04-16 15:19:49;100
42;2025-04-16 15:19:49;100
42;2025-04-16 15:19:49;103
42;2025-04-16 15:19:49;99
42;2025-04-16 15:19:49;99
42;2025-04-16 15:19:49;100
42;2025-04-16 15:19:49;100
42;2025-04-16 15:19:49;103
42;2025-04-16 15:19:49;100
42;2025-04-16 15:19:49;100
43;2025-04-16 15:20:24;114
43;2025-04-16 15:20:24;91
43;2025-04-16 15:20:24;99
43;2025-04-16 15:20:24;107
43;2025-04-16 15:20:24;114
43;2025-04-16 15:20:24;91
43;2025-04-16 15:20:24;99
43;2025-04-16 15:20:24;107
43;2025-04-16 15:20:24;113
43;2025-04-16 15:20:24;109
44;2025-04-16 15:21:45;91
44;2025-04-16 15:21:45;95
44;2025-04-16 15:21:45;84
44;2025-04-16 15:21:45;90
44;2025-04-16 15:21:45;109
44;2025-04-16 15:21:45;88
44;2025-04-16 15:21:45;88
44;2025-04-16 15:21:45;105
44;2025-04-16 15:21:45;105
44;2025-04-16 15:21:45;92
45;2025-04-16 15:22:16;113
45;2025-04-16 15:22:16;117
45;2025-04-16 15:22:16;123
45;2025-04-16 15:22:16;120
45;2025-04-16 15:22:16;114
45;2025-04-16 15:22:16;114
45;2025-04-16 15:22:16;117
45;2025-04-16 15:22:16;120
45;2025-04-16 15:22:16;97
45;2025-04-16 15:22:16;97
46;2025-04-16 15:22:47;100
46;2025-04-16 15:22:47;59
46;2025-04-16 15:22:47;90
46;2025-04-16 15:22:47;90
46;2025-04-16 15:22:47;93
46;2025-04-16 15:22:47;90
46;2025-04-16 15:22:47;90
46;2025-04-16 15:22:47;100
46;2025-04-16 15:22:47;59
46;2025-04-16 15:22:47;90
47;2025-04-16 15:23:02;102
47;2025-04-16 15:23:02;116
47;2025-04-16 15:23:02;116
47;2025-04-16 15:23:02;120
47;2025-04-16 15:23:02;123
47;2025-04-16 15:23:02;123
47;2025-04-16 15:23:02;127
47;2025-04-16 15:23:02;129
47;2025-04-16 15:23:02;106
47;2025-04-16 15:23:02;123
48;2025-04-16 15:23:39;113
48;2025-04-16 15:23:39;92
48;2025-04-16 15:23:39;92
48;2025-04-16 15:23:39;109
48;2025-04-16 15:23:39;109
48;2025-04-16 15:23:39;96
48;2025-04-16 15:23:39;109
48;2025-04-16 15:23:39;113
48;2025-04-16 15:23:39;115
48;2025-04-16 15:23:39;107
49;2025-04-16 15:23:56;134
49;2025-04-16 15:23:56;126
49;2025-04-16 15:23:56;139
49;2025-04-16 15:23:56;139
49;2025-04-16 15:23:56;126
49;2025-04-16 15:23:56;150
49;2025-04-16 15:23:56;135
49;2025-04-16 15:23:56;135
49;2025-04-16 15:23:56;119
49;2025-04-16 15:23:56;116
50;2025-04-16 15:24:28;93
50;2025-04-16 15:24:28;97
50;2025-04-16 15:24:28;96
50;2025-04-16 15:24:28;94
50;2025-04-16 15:24:28;98
50;2025-04-16 15:24:28;97
50;2025-04-16 15:24:28;94
50;2025-04-16 15:24:28;94
50;2025-04-16 15:24:28;98
50;2025-04-16 15:24:28;94
51;2025-04-16 15:24:53;82
51;2025-04-16 15:24:53;85
51;2025-04-16 15:24:53;82
51;2025-04-16 15:24:53;80
51;2025-04-16 15:24:53;83
51;2025-04-16 15:24:53;80
