Start Count;End Count;Improvement Count;Starting Positions;Move Sequence;Move Count;Value
3;4;1;E1-E4-K3;Lb Fb L;3;0.33
11;12;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K7-K8;Rb B Db Bb Bb D B R B D Bb;11;0.09
2;3;1;E2-E4;D Lb F L;4;0.25
4;5;1;E2-E3-E4-K2;F D Ub F Db U Fb;7;0.14
3;4;1;E3-K1-K2;Lb D L;3;0.33
4;5;1;E3-E4-K2-K3;Lb U Lb Ub F L;6;0.17
10;11;1;E1-E2-E3-E4-K1-K2-K3-K4-K7-K8;Lb Db Db Lb Db Lb D L Db L;10;0.10
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K5;B D L D Bb Db Bb Lb Bb;9;0.11
8;9;1;E1-E2-E3-E4-K1-K2-K3-K4;Db B D L Bb Lb Bb Db;8;0.12
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K8;Lb Bb Bb L B Db B L;8;0.12
3;4;1;E2-E3-K1;Lb D Lb Lb Db Lb;6;0.17
9;11;2;E1-E2-E3-E4-K1-K2-K3-K4-K8;D R Db Rb Fb R Db Db Db Fb Rb Fb Fb;13;0.15
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K5;F R L F Lb Fb Rb Lb Fb;9;0.11
5;6;1;E1-E2-E3-K1-K4;L F Lb Lb Fb Lb;6;0.17
4;5;1;E2-E3-E4-K4;B Db Bb Rb Bb R;6;0.17
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K8;D Bb L Bb Lb Db B D Bb Bb D;11;0.09
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K5;D D Rb D R Fb R F Rb;9;0.11
3;4;1;E1-E4-K3;Bb U R Ub;4;0.25
9;11;2;E1-E2-E3-E4-K1-K2-K3-K4-K7;Fb Fb D D Fb Fb D D F F;10;0.20
4;5;1;E1-K1-K3-K4;Lb U Rb Ub L;5;0.20
6;7;1;E1-E4-K1-K2-K3-K4;Bb F Db Fb B;5;0.20
2;4;2;E1-E2;R B Ub Bb;4;0.50
5;6;1;E1-E2-E3-E4-K2;Lb Db B L Bb Lb Bb D L L;10;0.10
3;4;1;E2-E4-K1;B U Rb Ub;4;0.25
2;3;1;E1-E2;Ub R U;3;0.33
3;4;1;E1-E3-K1;Lb B L Bb L;5;0.20
0;1;1;;Lb Lb;2;0.50
5;6;1;E4-K1-K2-K3-K4;Bb Db F D Fb B;6;0.17
3;4;1;E3-E4-K1;Bb D Bb;3;0.33
3;5;2;E4-K2-K3;F Ub F U Fb;5;0.40
8;9;1;E1-E2-E3-E4-K1-K2-K3-K4;F D D L Db Lb D D Fb Db;10;0.10
8;9;1;E1-E2-E3-E4-K1-K2-K3-K4;Rb Fb D Fb Rb Fb Fb R D;9;0.11
5;6;1;E1-E2-E3-E4-K4;F L U Lb Fb Ub Fb Lb F U;10;0.10
2;3;1;E3-E4;B L Bb Lb;4;0.25
10;11;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6;R B R Bb Db Rb;6;0.17
2;3;1;E1-K3;Db F F;3;0.33
2;3;1;K2-K3;L F Lb;3;0.33
3;4;1;E1-E3-K1;Rb F R Fb R;5;0.20
3;5;2;E1-E3-K1;Fb D R R F;5;0.40
4;6;2;E2-E4-K1-K2;Bb L U B Lb;5;0.40
2;3;1;E1-K4;Rb Fb R F;4;0.25
3;4;1;E3-K1-K4;B R Db Rb;4;0.25
5;6;1;E2-E3-K1-K3-K4;L D Lb D Lb D L;7;0.14
7;8;1;E2-E3-E4-K1-K2-K3-K4;B D Bb;3;0.33
2;3;1;E2-E4;D Bb D B Rb;5;0.20
2;3;1;E2-E3;Ub F U;3;0.33
0;1;1;;L Ub;2;0.50
3;4;1;E1-E2-K4;Rb L D R Lb;5;0.20
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K8;R D F R F Rb Db Fb Rb Db;10;0.10
5;6;1;E1-E2-E3-E4-K3;Lb Db L D F L Fb;7;0.14
5;6;1;E1-E2-E3-E4-K4;L B D Lb Bb Lb Db Lb B Db;10;0.10
6;7;1;E1-E3-E4-K2-K3-K4;Bb Db Db B;4;0.25
8;9;1;E1-E2-E3-E4-K1-K2-K3-K4;D Lb D L D B Db Bb Db;9;0.11
4;5;1;E1-E2-E3-E4;Bb Lb Db B L B D B Lb Db;10;0.10
6;7;1;E1-E2-E3-E4-K1-K4;Db Rb Bb Db R B R D R Bb;10;0.10
3;4;1;E2-E3-K4;Rb B L R;4;0.25
3;4;1;E1-E4-K3;Db L Bb Lb;4;0.25
5;7;2;E2-E4-K1-K2-K3;L L Fb Fb L L;6;0.33
6;7;1;E1-E2-K1-K2-K3-K4;Rb L Db Lb D R;6;0.17
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K8;L Db Lb Db L Db F L Fb Lb;10;0.10
13;14;1;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8;Rb Bb Db B D R Db;7;0.14
13;14;1;E1-E2-E3-E4-E6-K1-K2-K3-K4-K5-K6-K7-K8;Db R F D Fb Db Rb;7;0.14
14;15;1;E1-E2-E3-E4-E6-K1-K10-K2-K3-K4-K5-K6-K7-K8;Db L D B Db Bb L L L;9;0.11
13;14;1;E1-E2-E3-E4-E7-K1-K2-K3-K4-K5-K6-K7-K8;D Lb Db Fb D F L;7;0.14
14;15;1;E1-E2-E3-E4-E7-K1-K11-K2-K3-K4-K5-K6-K7-K8;L D B Db Bb Lb Db;7;0.14
14;15;1;E1-E2-E3-E4-E8-K1-K2-K3-K4-K5-K6-K7-K8-K9;Lb Db Db L D Lb D L Db Db;10;0.10
12;14;2;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8;D;1;2.00
13;14;1;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8;L Bb Lb F L B Lb Fb;8;0.12
14;16;2;E1-E2-E3-E4-E7-K1-K11-K2-K3-K4-K5-K6-K7-K8;B R D Rb Db Bb D;7;0.29
13;14;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8-K9;Fb Db Rb D Rb Rb Rb F;8;0.12
14;15;1;E1-E2-E3-E4-K1-K10-K2-K3-K4-K5-K6-K7-K8-K9;Rb Bb Lb B R Bb L B;8;0.12
12;13;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8;Db;1;1.00
15;16;1;E1-E2-E3-E4-E5-K1-K11-K2-K3-K4-K5-K6-K7-K8-K9;Rb Bb L B R Bb Lb B;8;0.12
14;15;1;E1-E2-E3-E4-E8-K1-K11-K2-K3-K4-K5-K6-K7-K8;Rb Db Db Db L Db R D Lb Db;10;0.10
12;14;2;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8;Db Db;2;1.00
14;15;1;E1-E2-E3-E4-E5-K1-K11-K2-K3-K4-K5-K6-K7-K8;Bb L B Lb Db Lb D L;8;0.12
15;16;1;E1-E2-E3-E4-E5-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;Rb Bb R Fb Rb B R F;8;0.12
15;16;1;E1-E2-E3-E4-E6-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;Db Bb D F Db Bb Fb Bb F Bb D Fb;12;0.08
13;14;1;E1-E2-E3-E4-K1-K11-K2-K3-K4-K5-K6-K7-K8;Bb Lb Db L D B;6;0.17
14;15;1;E1-E2-E3-E4-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;B B B Lb B Rb Bb L B R;10;0.10
5;6;1;E3-E4-K1-K2-K3;R Db Rb;3;0.33
14;15;1;E1-E2-E3-E4-K1-K11-K12-K2-K3-K4-K5-K6-K7-K8;L B R Bb Lb B Rb Bb;8;0.12
15;16;1;E1-E2-E3-E4-E8-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;F B B B Fb L L L F L B L L L Fb L;16;0.06
13;15;2;E1-E2-E3-E4-E6-K1-K2-K3-K4-K5-K6-K7-K8;Rb Bb Db B D R D;7;0.29
14;15;1;E1-E2-E3-E4-E7-K1-K2-K3-K4-K5-K6-K7-K8-K9;D F Db Bb D Fb Db B;8;0.12
12;13;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8;Bb Lb Db L D B;6;0.17
13;14;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8-K9;Fb Rb Db R D F;6;0.17
14;15;1;E1-E2-E3-E4-E6-K1-K10-K2-K3-K4-K5-K6-K7-K8;L B Rb Bb Lb B R Bb;8;0.12
14;15;1;E1-E2-E3-E4-E7-K1-K12-K2-K3-K4-K5-K6-K7-K8;Bb Db Lb D L B D;7;0.14
15;16;1;E1-E2-E3-E4-E5-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;Rb Rb Rb F L Fb Rb F Lb Fb;10;0.10
13;14;1;E1-E2-E3-E4-K1-K12-K2-K3-K4-K5-K6-K7-K8;L B D Bb Db Lb;6;0.17
14;15;1;E1-E2-E3-E4-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;Bb Lb Fb L B Lb F L;8;0.12
15;16;1;E1-E2-E3-E4-E6-K1-K11-K2-K3-K4-K5-K6-K7-K8-K9;L B Rb Bb Lb B R Bb;8;0.12
15;16;1;E1-E2-E3-E4-E8-K1-K11-K12-K2-K3-K4-K5-K6-K7-K8;Rb Bb Lb B R Bb L B;8;0.12
13;15;2;E1-E2-E3-E4-E7-K1-K2-K3-K4-K5-K6-K7-K8;R F D Fb Db Rb Db;7;0.29
15;16;1;E1-E2-E3-E4-E7-K1-K10-K2-K3-K4-K5-K6-K7-K8-K9;Bb Lb Fb Fb Bb F B L B Lb F L;12;0.08
13;14;1;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8;Fb Db Rb D R F D;7;0.14
15;16;1;E1-E2-E3-E4-E8-K1-K12-K2-K3-K4-K5-K6-K7-K8-K9;Rb D L Db R D Lb Db;8;0.12
15;16;1;E1-E2-E3-E4-E6-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;Fb Fb Fb Db B Fb Bb F Bb D F F F Db B D;16;0.06
15;16;1;E1-E2-E3-E4-E8-K1-K11-K12-K2-K3-K4-K5-K6-K7-K8;B R F Rb Bb R Fb Rb;8;0.12
15;16;1;E1-E2-E3-E4-E7-K1-K10-K2-K3-K4-K5-K6-K7-K8-K9;B R Fb Rb B B B R F Rb;10;0.10
14;15;1;E1-E2-E3-E4-E6-K1-K2-K3-K4-K5-K6-K7-K8-K9;B Rb Bb L B R Bb Lb;8;0.12
14;15;1;E1-E2-E3-E4-E8-K1-K11-K2-K3-K4-K5-K6-K7-K8;Lb B F Bb L Fb Bb F Lb Fb L B;12;0.08
15;16;1;E1-E2-E3-E4-E7-K1-K11-K2-K3-K4-K5-K6-K7-K8-K9;L B B B B B R Bb Lb B Rb Bb L R Lb Rb;16;0.06
14;17;3;E1-E2-E3-E4-E5-K1-K10-K2-K3-K4-K5-K6-K7-K8;D Rb Db Bb D B R;7;0.43
1;2;1;E3;B L Bb;3;0.33
15;16;1;E1-E2-E3-E4-E8-K1-K10-K2-K3-K4-K5-K6-K7-K8-K9;R F L L L Rb Lb R L Fb Rb F Rb L R Fb L L L L;20;0.05
14;17;3;E1-E2-E3-E4-E5-K1-K12-K2-K3-K4-K5-K6-K7-K8;Bb Bb Bb D Bb Db Bb L B Lb;10;0.30
13;14;1;E1-E2-E3-E4-E8-K1-K2-K3-K4-K5-K6-K7-K8;Db Rb Bb Db B D R;7;0.14
15;16;1;E1-E2-E3-E4-E6-E7-K1-K2-K3-K4-K5-K6-K7-K8-K9;F F D F Ub D U Fb Db Fb Db Fb D F F F;16;0.06
14;15;1;E1-E2-E3-E4-E6-K1-K2-K3-K4-K5-K6-K7-K8-K9;Lb D R Db L D Rb Db;8;0.12
15;16;1;E1-E2-E3-E4-E5-K1-K10-K12-K2-K3-K4-K5-K6-K7-K8;Fb D B Db F D Bb Db;8;0.12
13;14;1;E1-E2-E3-E4-E8-K1-K2-K3-K4-K5-K6-K7-K8;Db Bb L B Lb Db Lb D L D;10;0.10
15;16;1;E1-E2-E3-E4-E7-K1-K11-K12-K2-K3-K4-K5-K6-K7-K8;Bb D D D Bb Ub B D Bb U B B;12;0.08
3;4;1;K1-K3-K4;Rb Db R;3;0.33
14;17;3;E1-E2-E3-E4-E8-K1-K2-K3-K4-K5-K6-K7-K8-K9;Db Rb Bb Db B D R;7;0.43
2;3;1;E1-E3;R F F D Rb;5;0.20
15;16;1;E1-E2-E3-E4-E6-K1-K10-K12-K2-K3-K4-K5-K6-K7-K8;F L B Lb Fb L Bb Lb;8;0.12
5;6;1;E1-E2-E3-E4-K4;L Fb Db F Lb Db L;7;0.14
15;16;1;E1-E2-E3-E4-E5-K1-K11-K2-K3-K4-K5-K6-K7-K8-K9;Fb Rb B B B Rb Rb Rb F Rb B R;12;0.08
3;4;1;E2-E4-K4;Db F L L Fb;5;0.20
12;13;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8;Fb Rb Db R D F;6;0.17
14;15;1;E1-E2-E3-E4-E7-K1-K11-K2-K3-K4-K5-K6-K7-K8;B F R B F F Bb Rb Bb R Fb Fb Rb Fb;14;0.07
13;14;1;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8;D Lb Fb Db F D L;7;0.14
14;15;1;E1-E2-E3-E4-E7-K1-K2-K3-K4-K5-K6-K7-K8-K9;Lb Rb Lb R L Fb R F L Fb Rb F;12;0.08
14;16;2;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8-K9;F L D Lb Db Fb D;7;0.29
13;16;3;E1-E2-E3-E4-K1-K12-K2-K3-K4-K5-K6-K7-K8;Rb Bb Db B D R;6;0.50
12;13;1;E1-E2-E3-E4-K1-K2-K3-K4-K5-K6-K7-K8;Lb Fb Db F D L;6;0.17
14;15;1;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8-K9;R F L Fb Rb F Lb Fb;8;0.12
15;16;1;E1-E2-E3-E4-E6-K1-K10-K2-K3-K4-K5-K6-K7-K8-K9;Lb Lb R Lb Lb Rb B Rb Bb R L Rb B R Bb Lb;16;0.06
14;15;1;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8-K9;R D F Db Fb Rb Db;7;0.14
13;16;3;E1-E2-E3-E4-E8-K1-K2-K3-K4-K5-K6-K7-K8;R F D Fb Db Rb D;7;0.43
5;6;1;E2-E3-E4-K2-K3;Lb U Lb Ub F L;6;0.17
14;17;3;E1-E2-E3-E4-E6-K1-K11-K2-K3-K4-K5-K6-K7-K8;Lb Db Fb D F L D;7;0.43
1;2;1;E3;Bb D Bb;3;0.33
15;16;1;E1-E2-E3-E4-E8-K1-K10-K11-K2-K3-K4-K5-K6-K7-K8;L F F L F Rb Rb Fb Lb F Rb Rb F Lb;14;0.07
14;15;1;E1-E2-E3-E4-K1-K10-K12-K2-K3-K4-K5-K6-K7-K8;Lb Lb Lb B D Bb D Lb Db L Db Lb;12;0.08
10;11;1;E1-E2-E3-E4-K1-K2-K3-K4-K6-K7;Db Lb F L Fb L D Lb;8;0.12
14;16;2;E1-E2-E3-E4-E7-K1-K12-K2-K3-K4-K5-K6-K7-K8;Lb Fb Db F D L Db;7;0.29
15;16;1;E1-E2-E3-E4-E6-E8-K1-K10-K2-K3-K4-K5-K6-K7-K8;Rb Rb Db Rb Db R D R D R Db R;12;0.08
13;15;2;E1-E2-E3-E4-E6-K1-K2-K3-K4-K5-K6-K7-K8;R D Rb Db Rb B R Bb;8;0.25
5;6;1;E1-E2-E3-E4-K2;Fb Fb Db F Lb Db L D L F;10;0.10
4;5;1;E2-E3-E4-K2;Lb D L B D Bb;6;0.17
13;16;3;E1-E2-E3-E4-K1-K10-K2-K3-K4-K5-K6-K7-K8;Lb Fb Db F D Lb Lb Lb;8;0.38
15;16;1;E1-E2-E3-E4-E5-K1-K11-K2-K3-K4-K5-K6-K7-K8-K9;D B Db Fb D Bb Db F;8;0.12
14;16;2;E1-E2-E3-E4-E5-K1-K10-K2-K3-K4-K5-K6-K7-K8;D Rb Db R D D D Rb D D R D;12;0.17
14;15;1;E1-E2-E3-E4-E6-E7-K1-K2-K3-K4-K5-K6-K7-K8;Lb U D D Ub Lb Db Lb Ub Ub Db Ub Ub L L D L D Lb Lb;20;0.05
9;10;1;E1-E2-E3-E4-K1-K2-K3-K4-K5;Db Rb Db Db Bb Rb Db B B R B D R R Db;15;0.07
8;9;1;E1-E2-E3-E4-K1-K2-K3-K4;D L F L Fb Db Lb Db;8;0.12
14;15;1;E1-E2-E3-E4-E5-K1-K2-K3-K4-K5-K6-K7-K8-K9;Fb D B Db F D Bb Db;8;0.12
16;17;1;E1-E2-E3-E4-K1-K10-K11-K12-K2-K3-K4-K5-K6-K7-K8-K9;R F L Fb Rb F Lb Fb;8;0.12
17;20;3;E1-E2-E3-E4-E6-K1-K10-K11-K12-K2-K3-K4-K5-K6-K7-K8-K9;Fb Rb F Lb Fb R F Rb L Rb Rb Rb;12;0.25
16;17;1;E1-E2-E3-E4-K1-K10-K11-K12-K2-K3-K4-K5-K6-K7-K8-K9;Lb D R Db L D Rb Db;8;0.12
17;18;1;E1-E2-E3-E4-E7-K1-K10-K11-K12-K2-K3-K4-K5-K6-K7-K8-K9;L L L L U L D L U Lb Db L Ub L L Ub;16;0.06
16;17;1;E1-E2-E3-E4-K1-K10-K11-K12-K2-K3-K4-K5-K6-K7-K8-K9;Rb B R Fb Rb Bb R F;8;0.12
17;18;1;E1-E2-E3-E4-E5-K1-K10-K11-K12-K2-K3-K4-K5-K6-K7-K8-K9;Fb Rb Bb R B F Bb Rb B R;10;0.10
17;20;3;E1-E2-E3-E4-E7-K1-K10-K11-K12-K2-K3-K4-K5-K6-K7-K8-K9;R B Fb Bb Rb B R F R R R Bb;12;0.25
3;4;1;E1-E4-K3;F Db Bb Fb D B;6;0.17
15;18;3;E1-E2-E3-E4-E5-E8-K1-K12-K2-K3-K4-K5-K6-K7-K8;B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;20;0.15
15;16;1;E1-E2-E3-E4-E5-E6-K1-K10-K2-K3-K4-K5-K6-K7-K8;L L D L Ub Db U Db Db Lb Db Lb Db Lb D Lb Db Ub D U;20;0.05
16;17;1;E1-E2-E3-E4-E5-E6-E7-E8-K1-K2-K3-K4-K5-K6-K7-K8;Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db;20;0.05
8;9;1;E1-E2-E4-K2-K4-K6-K8-K9;Fb B Rb Bb F;5;0.20
9;10;1;E1-E2-E4-E6-K2-K4-K6-K8-K9;Rb F R Db Rb Fb R D;8;0.12
10;11;1;E1-E2-E4-E6-E8-K2-K4-K6-K8-K9;Fb Rb F R F R F Rb Fb Rb;10;0.10
11;12;1;E1-E2-E4-E6-E8-K2-K3-K4-K6-K8-K9;Lb U Lb U U U L D D D Lb Db Db U Db Db L Ub D L;20;0.05
6;7;1;E2-E5-K10-K12-K3-K4;R Bb R B Rb;5;0.20
8;9;1;E2-E5-K10-K12-K3-K4-K7-K8;Db Db L D D;5;0.20
9;11;2;E1-E2-E5-K10-K12-K3-K4-K7-K8;Rb Bb Bb L B B R;7;0.29
11;13;2;E1-E2-E5-K10-K11-K12-K3-K4-K5-K7-K8;D Fb Ub F U Db Ub Fb U F;10;0.20
13;14;1;E1-E2-E3-E5-E7-K10-K11-K12-K3-K4-K5-K7-K8;Lb Ub Rb Rb U L Ub Rb Rb Ub Rb L Ub Ub Ub Ub R Lb U U;20;0.05
8;10;2;E2-E4-E8-K3-K4-K6-K8-K9;Ub R Db Rb D U;6;0.33
10;11;1;E2-E3-E4-E6-E8-K3-K4-K6-K8-K9;Db Lb Db L D L D L Db Lb;10;0.10
11;12;1;E2-E3-E4-E6-E8-K1-K3-K4-K6-K8-K9;B Rb Bb Rb U R Ub R;8;0.12
8;9;1;E2-E4-K1-K11-K12-K3-K6-K8;Ub Bb Lb B U;5;0.20
9;11;2;E2-E4-E6-K1-K11-K12-K3-K6-K8;Db Fb D Fb Db F Db F D;9;0.22
7;9;2;E2-E7-E8-K1-K10-K3-K6;F R Fb Bb R B Rb;7;0.29
9;11;2;E2-E3-E7-E8-K1-K10-K3-K6-K7;L L Fb Lb F F Db Fb Db Lb D D Fb Lb;14;0.14
11;12;1;E2-E3-E5-E7-E8-K1-K10-K3-K4-K6-K7;Bb F Lb Bb Lb B L B L B Lb Fb;12;0.08
8;9;1;E1-E4-E7-K1-K11-K3-K7-K9;Bb Lb Fb L B Lb F L;8;0.12
9;10;1;E1-E4-E7-E8-K1-K11-K3-K7-K9;Ub Ub R R U Db U D U Rb U R R Ub Db U R Ub D Ub;20;0.05
10;11;1;E1-E4-E5-E7-E8-K1-K11-K3-K7-K9;Ub D R Db Rb U R D Rb Db;10;0.10
8;9;1;E7-K12-K4-K5-K6-K7-K8-K9;Lb R Bb Rb L;5;0.20
9;10;1;E7-K12-K2-K4-K5-K6-K7-K8-K9;Bb U Bb Ub Ub B U B;8;0.12
10;11;1;E7-K10-K12-K2-K4-K5-K6-K7-K8-K9;Db B Ub Bb D B U Bb;8;0.12
11;12;1;E5-E7-K10-K12-K2-K4-K5-K6-K7-K8-K9;L F Lb B L Fb Lb Bb;8;0.12
3;4;1;E3-E5-E8;Lb Bb L;3;0.33
7;8;1;E3-E5-E6-E8-K5-K6-K7;Ub Bb Rb B Ub Ub;6;0.17
8;10;2;E3-E5-E6-E8-K1-K5-K6-K7;Fb Ub F U Fb U F;7;0.29
10;11;1;E2-E3-E5-E6-E8-K1-K3-K5-K6-K7;U F U U Bb Fb B B F B B Fb B Ub Fb Ub Fb Fb U F;20;0.05
8;9;1;E4-E5-E6-K1-K10-K12-K3-K6;U R Ub Rb Bb R B;7;0.14
9;11;2;E4-E5-E6-E7-K1-K10-K12-K3-K6;B L Fb L F Lb Bb;7;0.29
11;12;1;E1-E4-E5-E6-E7-K1-K10-K12-K3-K4-K6;Rb Db Lb D D R L Rb L L L Db Rb Db L Db Db Db Rb Rb;20;0.05
7;8;1;E2-E5-E6-K10-K12-K5-K9;R Ub Rb;3;0.33
8;9;1;E2-E5-E6-E7-K10-K12-K5-K9;Db Bb Ub Ub B D;6;0.17
9;10;1;E2-E5-E6-E7-K1-K10-K12-K5-K9;U Db Fb U D Fb Db Ub D F Ub Db F D;14;0.07
10;11;1;E2-E5-E6-E7-K1-K10-K11-K12-K5-K9;Rb Bb Rb Rb Rb Fb Fb B Fb Fb R B R Bb Rb F F Bb Fb Fb;20;0.05
6;8;2;K10-K11-K12-K5-K7-K8;Ub;1;2.00
8;9;1;E3-K10-K11-K12-K3-K5-K7-K8;L B Lb Bb;4;0.25
9;10;1;E1-E3-K10-K11-K12-K3-K5-K7-K8;Ub Lb U Lb Ub L U;7;0.14
10;11;1;E1-E3-K10-K11-K12-K3-K5-K6-K7-K8;Bb D Fb Db B D F Db;8;0.12
11;12;1;E1-E3-E4-K10-K11-K12-K3-K5-K6-K7-K8;Db Bb D F Db B D Fb;8;0.12
8;9;1;E4-K10-K11-K3-K4-K6-K7-K8;U Fb D F Ub Db;6;0.17
9;10;1;E4-K10-K11-K3-K4-K6-K7-K8-K9;Ub L F Lb Fb U;6;0.17
10;11;1;E4-K10-K11-K2-K3-K4-K6-K7-K8-K9;U R Ub L U Rb Ub Lb;8;0.12
7;8;1;E1-E2-E7-K10-K11-K8-K9;Bb L Fb Lb F B;6;0.17
9;11;2;E1-E2-E5-E7-K10-K11-K5-K8-K9;Ub L L B Ub Bb U L L U;10;0.20
11;12;1;E1-E2-E4-E5-E7-K10-K11-K5-K7-K8-K9;Fb Ub F U F U F Ub Fb Ub;10;0.10
3;4;1;E2-E5-E6;Fb;1;1.00
4;6;2;E2-E5-E6-E7;L Fb Lb F;4;0.50
8;9;1;E1-E2-E3-E5-E6-E7-K10-K8;Db Rb Db R D R D R Db Rb;10;0.10
9;10;1;E1-E2-E3-E5-E6-E7-K10-K12-K8;Rb Db Rb D Lb R L D R D Rb Db Lb D D D D Lb Lb Lb;20;0.05
5;6;1;K10-K11-K4-K5-K9;Fb Ub Ub F;4;0.25
8;9;1;E1-K10-K11-K4-K5-K7-K8-K9;L F F Ub Fb Fb Lb;7;0.14
9;10;1;E1-K10-K11-K12-K4-K5-K7-K8-K9;L U Lb Ub L Ub Lb;7;0.14
3;4;1;E4-E7-K9;B B;2;0.50
8;9;1;E1-E2-E4-K1-K11-K7-K8-K9;Db Lb D L Bb L B Lb;8;0.12
9;10;1;E1-E2-E4-E7-K1-K11-K7-K8-K9;B Db B R Bb Rb Bb D;8;0.12
10;12;2;E1-E2-E4-E7-K1-K11-K6-K7-K8-K9;B Lb B U Bb L B B B;9;0.22
8;9;1;E2-E3-E4-E8-K10-K11-K2-K8;L U Rb Ub Lb U R Ub;8;0.12
9;10;1;E2-E3-E4-E6-E8-K10-K11-K2-K8;F L Fb L U F Lb Fb Ub;9;0.11
10;11;1;E2-E3-E4-E6-E8-K1-K10-K11-K2-K8;Db Rb U R D D Rb Ub R Db;10;0.10
3;4;1;E1-E7-E8;F R Fb;3;0.33
8;9;1;E1-E2-E3-E7-K11-K12-K3-K9;Ub Bb Lb B U L;6;0.17
9;10;1;E1-E2-E3-E4-E7-K11-K12-K3-K9;Lb Bb Rb L R B L B R R R Lb Lb B Lb Bb Lb R Bb Lb;20;0.05
10;12;2;E1-E2-E3-E4-E7-K11-K12-K3-K7-K9;B L Db Lb Bb L D Lb;8;0.25
9;11;2;E2-E3-E4-E6-E8-K1-K12-K3-K4;B U Rb Ub Rb B R;7;0.29
11;12;1;E1-E2-E3-E4-E6-E8-K1-K12-K3-K4-K7;D D F F D D F F Db Db F F;12;0.08
8;9;1;E1-E3-E4-E6-E8-K1-K2-K7;Ub Bb U Bb Rb Bb Bb R B Rb;10;0.10
11;12;1;E1-E2-E3-E4-K1-K10-K11-K2-K5-K7-K9;F Db Bb D Fb Db Bb Bb Bb D;10;0.10
7;9;2;E4-E8-K1-K10-K2-K6-K9;R;1;2.00
9;11;2;E4-E7-E8-K1-K10-K2-K6-K7-K9;F R F Rb Fb U Fb Ub;8;0.25
11;13;2;E4-E6-E7-E8-K1-K10-K11-K2-K6-K7-K9;Ub R Db Rb U R D Rb;8;0.25
7;8;1;E1-E2-E4-K10-K11-K7-K9;Bb Fb L Fb Lb F B;7;0.14
8;9;1;E1-E2-E4-K10-K11-K5-K7-K9;Fb Bb Fb Ub F U F B;8;0.12
9;10;1;E1-E2-E4-K10-K11-K12-K5-K7-K9;Bb F Lb Bb L F F Lb B L B F;12;0.08
10;11;1;E1-E2-E4-E8-K10-K11-K12-K5-K7-K9;Db Fb Db Db Ub D D F D Fb Ub Ub Ub F;14;0.07
7;8;1;E3-E4-E5-E8-K12-K6-K7;Ub R R U R R U;7;0.14
8;9;1;E3-E4-E5-E8-K11-K12-K6-K7;Bb U Fb Ub B U F Ub;8;0.12
9;10;1;E2-E3-E4-E5-E8-K11-K12-K6-K7;F R L Rb F L R L Rb Lb F R L L L Rb Fb Lb Fb Lb;20;0.05
10;11;1;E2-E3-E4-E5-E8-K11-K12-K4-K6-K7;Rb Lb D L Db R D Lb Db L;10;0.10
8;9;1;E1-E2-E3-E5-E7-E8-K1-K7;D L Db Lb Lb U Lb D L Db Ub L L;13;0.08
10;12;2;E1-E2-E3-E5-E7-E8-K1-K6-K7-K9;D Fb Fb D F D F D D Fb Db B Fb Bb Db Db Db Db Db Db;20;0.10
4;5;1;E5-E6-K3-K5;R U Rb;3;0.33
7;8;1;E1-E5-E6-K10-K11-K3-K5;Ub D R Db U;5;0.20
